"CASRN"	"DTXSID"	"Chemical_Name"	"LD50_mgkg"	"test_type"
"100-00-5"	"DTXSID5020281"	"1-Chloro-4-nitrobenzene"	294	"point estimate"
"100-00-5"	"DTXSID5020281"	"1-Chloro-4-nitrobenzene"	420	"point estimate"
"100-00-5"	"DTXSID5020281"	"1-Chloro-4-nitrobenzene"	500	"point estimate"
"100-00-5"	"DTXSID5020281"	"1-Chloro-4-nitrobenzene"	530	"point estimate"
"100-00-5"	"DTXSID5020281"	"1-Chloro-4-nitrobenzene"	565	"point estimate"
"100-00-5"	"DTXSID5020281"	"1-Chloro-4-nitrobenzene"	664	"point estimate"
"100-00-5"	"DTXSID5020281"	"1-Chloro-4-nitrobenzene"	694	"point estimate"
"100-01-6"	"DTXSID8020961"	"4-Nitroaniline"	750	"point estimate"
"100-01-6"	"DTXSID8020961"	"4-Nitroaniline"	1410	"point estimate"
"100-01-6"	"DTXSID8020961"	"4-Nitroaniline"	2000	"point estimate"
"100-01-6"	"DTXSID8020961"	"4-Nitroaniline"	3249	"point estimate"
"100-02-7"	"DTXSID0021834"	"4-Nitrophenol"	129	"limit test (greater than)"
"100-02-7"	"DTXSID0021834"	"4-Nitrophenol"	131	"limit test (greater than)"
"100-02-7"	"DTXSID0021834"	"4-Nitrophenol"	170	"point estimate"
"100-02-7"	"DTXSID0021834"	"4-Nitrophenol"	191	"point estimate"
"100-02-7"	"DTXSID0021834"	"4-Nitrophenol"	202	"point estimate"
"100-02-7"	"DTXSID0021834"	"4-Nitrophenol"	225	"limit test (less than)"
"100-02-7"	"DTXSID0021834"	"4-Nitrophenol"	303	"limit test (less than)"
"100-14-1"	"DTXSID4025745"	"4-Nitrobenzyl chloride"	1809	"point estimate"
"100-15-2"	"DTXSID7025635"	"N-Methyl-4-nitroaniline"	2000	"limit test (greater than)"
"100-17-4"	"DTXSID9059208"	"p-Nitroanisole"	2300	"point estimate"
"100-18-5"	"DTXSID2026652"	"1,4-Diisopropylbenzene"	3200	"limit test (greater than)"
"100-20-9"	"DTXSID7026653"	"1,4-Benzenedicarbonyl dichloride"	2500	"point estimate"
"100-21-0"	"DTXSID6026080"	"Terephthalic acid"	1960	"point estimate"
"100-21-0"	"DTXSID6026080"	"Terephthalic acid"	5000	"limit test (greater than)"
"100-21-0"	"DTXSID6026080"	"Terephthalic acid"	6400	"limit test (greater than)"
"100-21-0"	"DTXSID6026080"	"Terephthalic acid"	15380	"limit test (greater than)"
"100-21-0"	"DTXSID6026080"	"Terephthalic acid"	18800	"point estimate"
"100-28-7"	"DTXSID80870440"	"1-Isocyanato-4-nitro-benzene"	1600	"point estimate"
"100-29-8"	"DTXSID7026655"	"1-Ethoxy-4-nitrobenzene"	3300	"point estimate"
"100-35-6"	"DTXSID8043868"	"Ethanamine, 2-chloro-N,N-diethyl-"	17	"point estimate"
"100-36-7"	"DTXSID7057606"	"2-Aminoethyldiethylamine"	2830	"point estimate"
"100-37-8"	"DTXSID5021837"	"N,N-Diethylethanolamine"	1300	"point estimate"
"100-40-3"	"DTXSID3021437"	"4-Vinylcyclohexene"	1600	"point estimate"
"100-40-3"	"DTXSID3021437"	"4-Vinylcyclohexene"	2563	"point estimate"
"100-40-3"	"DTXSID3021437"	"4-Vinylcyclohexene"	6300	"point estimate"
"100-42-5"	"DTXSID2021284"	"Styrene"	1000	"point estimate"
"100-42-5"	"DTXSID2021284"	"Styrene"	2650	"point estimate"
"100-42-5"	"DTXSID2021284"	"Styrene"	5000	"point estimate"
"100-44-7"	"DTXSID0020153"	"Benzyl chloride"	340	"limit test (greater than)"
"100-44-7"	"DTXSID0020153"	"Benzyl chloride"	380	"limit test (less than)"
"100-44-7"	"DTXSID0020153"	"Benzyl chloride"	440	"point estimate"
"100-44-7"	"DTXSID0020153"	"Benzyl chloride"	560	"point estimate"
"100-44-7"	"DTXSID0020153"	"Benzyl chloride"	1150	"limit test (greater than)"
"100-44-7"	"DTXSID0020153"	"Benzyl chloride"	1230	"point estimate"
"100-44-7"	"DTXSID0020153"	"Benzyl chloride"	1231	"point estimate"
"100-44-7"	"DTXSID0020153"	"Benzyl chloride"	1660	"limit test (less than)"
"100-45-8"	"DTXSID70861706"	"3-?Cyclohexene-?1-?carbonitrile"	460	"point estimate"
"100-51-6"	"DTXSID5020152"	"Benzyl alcohol"	1230	"limit test (greater than)"
"100-51-6"	"DTXSID5020152"	"Benzyl alcohol"	1230	"point estimate"
"100-51-6"	"DTXSID5020152"	"Benzyl alcohol"	3120	"limit test (less than)"
"100-52-7"	"DTXSID8039241"	"Benzaldehyde"	1300	"point estimate"
"100-52-7"	"DTXSID8039241"	"Benzaldehyde"	1430	"point estimate"
"100-53-8"	"DTXSID6026664"	"Benzenemethanethiol"	493	"point estimate"
"100-54-9"	"DTXSID1026665"	"3-Pyridinecarbonitrile"	1185	"point estimate"
"100-60-7"	"DTXSID3059216"	"Cyclohexanamine, N-methyl-"	400	"point estimate"
"100-61-8"	"DTXSID9021841"	"N-Methylaniline"	716	"point estimate"
"100-61-8"	"DTXSID9021841"	"N-Methylaniline"	782	"point estimate"
"100-63-0"	"DTXSID8021147"	"Phenylhydrazine"	188	"point estimate"
"100-65-2"	"DTXSID3025889"	"N-Phenylhydroxylamine"	100	"point estimate"
"100-66-3"	"DTXSID4041608"	"Anisole"	3700	"point estimate"
"100-68-5"	"DTXSID8059217"	"Benzene, (methylthio)-"	300	"limit test (greater than)"
"100-68-5"	"DTXSID8059217"	"Benzene, (methylthio)-"	891	"point estimate"
"100-68-5"	"DTXSID8059217"	"Benzene, (methylthio)-"	2000	"limit test (less than)"
"100-69-6"	"DTXSID1026667"	"2-Vinylpyridine"	100	"limit test (greater than)"
"100-69-6"	"DTXSID1026667"	"2-Vinylpyridine"	100	"point estimate"
"100-69-6"	"DTXSID1026667"	"2-Vinylpyridine"	200	"limit test (less than)"
"100-73-2"	"DTXSID30274151"	"3,4-Dihydro-2H-pyran-2-carbaldehyde"	4920	"point estimate"
